A	'ə	 ə 
repto	r 'e p t u	 r 'ɛ p t u 
requeriment	r ə k ə ɾ i m 'e n	 r ə k 'ɛ ɾ i m 'e n 
rere	r 'e ɾ ə	 r 'ɛ ɾ ə 
resa	r 'e z ə	 r 'ɛ z ə 
resclosa	r ə s k l 'ɔ z ə	 r ə s k l 'o z ə 
resen	r 'e z ə n	 r 'ɛ z ə n 
reso	r 'e z u	 r 'ɛ z u 
respir	r ə s p 'i r	 r ə s p 'i 
respon	r ə s p 'ɔ n	 r ə s p 'o n 
respost	r ə s p 'ɔ s t	 r ə s p 'o s t 
ressorgiment	r ə s u r ʒ i m 'e n	 r ə s 'ɔ r ʒ i m 'e n 
resta	r 'e s t ə	 r 'ɛ s t ə 
restablida	r ə s t ə b b l 'i ð ə	 r ə s t 'a b b l 'i ð ə 
restablides	r ə s t ə b b l 'i ð ə s	 r ə s t 'a b b l 'i ð ə s 
restabliment	r ə s t ə b b l i m 'e n	 r ə s t 'a b b l i m 'e n 
restablir	r ə s t ə b b l 'i	 r ə s t 'a b b l 'i 
restablit	r ə s t ə b b l 'i t	 r ə s t 'a b b l 'i t 
restablits	r ə s t ə b b l 'i t s	 r ə s t 'a b b l 'i t s 
resten	r 'e s t ə n	 r 'ɛ s t ə n 
restes	r 'e s t ə s	 r 'ɛ s t ə s 
resti	r 'e s t i	 r 'ɛ s t i 
restin	r 'e s t i n	 r 'ɛ s t i n 
resto	r 'e s t u	 r 'ɛ s t u 
ret	r 'e t	 r 'ɛ t 
retard	r ə t 'a r t	 r ə t 'a r 
retir	r ə t 'i r	 r ə t 'i 
retòrcer	r ə t 'ɔ r s ə	 r ə t 'ɔ r s ə r 
retret	r ə t ɾ 'e t	 r ə t ɾ 'ɛ t 
retrets	r ə t ɾ 'e t s	 r ə t ɾ 'ɛ t s 
retrobament	r ə t ɾ u β ə m 'e n	 r ə t ɾ 'ɔ β ə m 'e n 
retrògrad	r ə t ɾ 'ɔ ɣ ɾ ə t	 r ə t ɾ 'ɔ ɣ ɾ ə ð 
reusenc	r ə w z 'ɛ ŋ	 r ə u z 'ɛ n s 
reverend	r ə β ə ɾ 'e n	 r ə β ə ɾ 'ɛ n d 
revestiment	r ə β ə s t i m 'e n	 r ə β 'ɛ s t i m 'e n 
revetlla	r ə β 'e ʎ ʎ ə	 r ə β 'ɛ ʎ ʎ ə 
revolt	r ə β 'ɔ l	 r ə β 'o ʎ 
Riad	r i 'a t	 r i 'a ð 
rialler	r i ə ʎ 'e	 r i 'a ʎ 'e 
riallera	r i ə ʎ 'e ɾ ə	 r i 'a ʎ 'e ɾ ə 
Ribagorça	r i β ə ɣ 'o r s ə	 r i β ə ɣ 'ɔ r s ə 
riberenc	r i β ə ɾ 'ɛ ŋ	 r i β ə ɾ 'ɛ n s 
rigor	r i ɣ 'o r	 r i ɣ 'o 
ripollenc	r i p u ʎ 'ɛ ŋ	 r i p u ʎ 'ɛ n s 
rock	r 'ɔ k	 r 'o k k 
rogenc	r u ʒ 'ɛ ŋ	 r u ʒ 'ɛ n s 
roig	r 'ɔ t ʃ	 r 'ɔ 'i ə 
Roland	r u l 'a n	 r u l 'a n ə 
romancejar	r u m ə n s ə ʒ 'a	 r u m 'a n s ə ʒ 'a 
rombe	r 'o m b ə	 r 'ɔ m b ə 
rombes	r 'o m b ə s	 r 'ɔ m b ə s 
rompre	r 'o m p ɾ ə	 r 'ɔ m p ɾ ə 
rompuda	r u m p 'u ð ə	 r 'o m p 'u ð ə 
rompudes	r u m p 'u ð ə s	 r 'o m p 'u ð ə s 
romput	r u m p 'u t	 r 'o m p 'u t 
romputs	r u m p 'u t s	 r 'o m p 'u t s 
ronca	r 'o ŋ k ə	 r 'ɔ ŋ k ə 
ronda	r 'o n d ə	 r 'ɔ n d ə 
rondes	r 'o n d ə s	 r 'ɔ n d ə s 
rosa	r 'ɔ z ə	 r 'o z ə 
rosegaaltars	r u z ə ɣ ə ə l t 'a s	 r u z ə ɣ ə ə l t 'a r s 
roses	r 'ɔ z ə s	 r 'o z ə s 
rossa	r 'o s ə	 r 'ɔ s ə 
rosses	r 'o s ə s	 r 'ɔ s ə s 
rossos	r 'o s u s	 r 'ɔ s u s 
rot	r 'o t	 r 'ɔ t 
rota	r 'o t ə	 r 'ɔ t ə 
rotaboc	r u t ə β 'o k	 r u t ə β 'ɔ k 
roti	r 'o t i	 r 'ɔ t i 
rotonda	r u t 'o n d ə	 r u t 'ɔ n d ə 
rotund	r u t 'u n	 r u t 'u n d 
rou	r 'o w	 r 'o 
roure	r 'o w ɾ ə	 r 'ɔ w ɾ ə 
rovell	r u β 'ɛ ʎ	 r u β 'e ʎ 
rubor	r u β 'o r	 r u β 'o 
ruixada	r u ʃ 'a ð ə	 r u i ʃ 'a ð ə 
ruixades	r u ʃ 'a ð ə s	 r u i ʃ 'a ð ə s 
ruixar	r u ʃ 'a	 r u i ʃ 'a 
ruixat	r u ʃ 'a t	 r u i ʃ 'a t 
ruixats	r u ʃ 'a t s	 r u i ʃ 'a t s 
rumb	r 'u m	 r 'u m b 
rumbós	r u m b 'o s	 r 'u m b 'o s 
rumor	r u m 'o r	 r u m 'o 
ruptura	r u p t 'u ɾ ə	 r 'u p t 'u ɾ ə 
rutè	r u t 'ɛ	 r 'u t 'ɛ 
sa	s 'ə	 s ə 
sabadellenc	s ə β ə ð ə ʎ 'ɛ ŋ	 s ə β ə ð ə ʎ 'ɛ n s 
saber	s ə β 'ɛ	 s ə β 'e 
sabor	s ə β 'o r	 s ə β 'o 
sacseig	s ə k s 'ɛ t ʃ	 s ə k s 'ɛ ʃ 
safareig	s ə f ə ɾ 'ɛ t ʃ	 s ə f ə ɾ 'ɛ ʃ 
sagrament	s ə ɣ ɾ ə m 'e n	 s 'a ɣ ɾ ə m 'e n 
saguaro	s ə ɣ w 'a ɾ u	 s ə ɣ u 'a ɾ u 
saig	s 'a t ʃ	 s 'a 'i ə 
sainet	s ə j n 'ɛ t	 s ə i n 'ɛ t 
salt	s 'a l	 s 'a l t 
Salt	s 'a l	 s 'a l t 
salvadorenc	s ə l β ə ð u ɾ 'ɛ ŋ	 s ə l β ə ð u ɾ 'ɛ n s 
sancionin	s ə n s i 'ɔ n i n	 s ə n s i 'o n i n 
sanejament	s ə n ə ʒ ə m 'e n	 s ə n 'ɛ ʒ ə m 'e n 
saqueig	s ə k 'ɛ t ʃ	 s ə k 'ɛ ʃ 
sard	s 'a r	 s 'a r t 
sastressa	s ə s t ɾ 'ɛ s ə	 s ə s t ɾ 'e s ə 
satisfet	s ə t i s f 'e t	 s ə t i s f 'ɛ t 
satisfeta	s ə t i s f 'e t ə	 s ə t i s f 'ɛ t ə 
satisfetes	s ə t i s f 'e t ə s	 s ə t i s f 'ɛ t ə s 
satisfets	s ə t i s f 'e t s	 s ə t i s f 'ɛ t s 
saüc	s ə 'u k	 s 'a 'u k 
sauna	s 'a w n ə	 s 'a 'u n ə 
saxofon	s ə k s u f 'ɔ n	 s ə k s u f 'o n 
secret	s ə k ɾ 'e t	 s ə k ɾ 'ɛ t 
secreta	s ə k ɾ 'e t ə	 s ə k ɾ 'ɛ t ə 
secretes	s ə k ɾ 'e t ə s	 s ə k ɾ 'ɛ t ə s 
secrets	s ə k ɾ 'e t s	 s ə k ɾ 'ɛ t s 
secular	s ə k u l 'a r	 s ə k u l 'a 
sedenc	s ə ð 'ɛ ŋ	 s ə ð 'ɛ n s 
sega	s 'e ɣ ə	 s 'ɛ ɣ ə 
segarrenc	s ə ɣ ə r 'ɛ ŋ	 s ə ɣ ə r 'ɛ ŋ k 
segrest	s ə ɣ ɾ 'e s t	 s ə ɣ ɾ 'ɛ s t 
segrianenc	s ə ɣ ɾ i ə n 'ɛ ŋ	 s ə ɣ ɾ i ə n 'ɛ n s 
seguici	s ə ɣ 'i s i	 s ə ɣ u 'i s i 
segurs	s ə ɣ 'u s	 s ə ɣ 'u r s 
seient	s ə j 'e n	 s ə i 'e n 
seitó	s ə j t 'o	 s ə i t 'o 
semblantment	s ə m b l ə m m 'e n	 s ə m b l 'a n ə m 'e n 
sembra	s 'e m b ɾ ə	 s 'ɛ m b ɾ ə 
sembren	s 'e m b ɾ ə n	 s 'ɛ m b ɾ ə n 
semiautònoma	s ə m i ə w t 'ɔ n u m ə	 s ə m i 'a w t 'ɔ n u m ə 
semiautònomes	s ə m i ə w t 'ɔ n u m ə s	 s ə m i 'a w t 'ɔ n u m ə s 
semiautònoms	s ə m i ə w t 'ɔ n u m s	 s ə m i 'a w t 'ɔ n u m s 
seminoma	s ə m i n 'ɔ m ə	 s ə m i n 'o m ə 
seminomes	s ə m i n 'ɔ m ə s	 s ə m i n 'o m ə s 
sempre	s 'e m p ɾ ə	 s 'ɛ m p ɾ ə 
sencer	s ə n s 'ɛ	 s ə n s 'e 
senda	s 'e n d ə	 s 'ɛ n d ə 
sénia	s 'e n i ə	 s 'e n 'i ə 
sènior	s 'ɛ n i u r	 s 'ɛ n i 'o 
sense	s 'e n s ə	 s 'ɛ n s ə 
senten	s 'e n t ə n	 s 'ɛ n t ə n 
senti	s 'e n t i	 s 'ɛ n t i 
sentiment	s ə n t i m 'e n	 s 'ɛ n t i m 'e n 
sentin	s 'e n t i n	 s 'ɛ n t i n 
sentis	s 'e n t i s	 s 'ɛ n t i s 
sento	s 'e n t u	 s 'ɛ n t u 
septentrió	s ə p t ə n t ɾ i 'o	 s 'e p t ə n t ɾ i 'o 
septentrional	s ə p t ə n t ɾ i u n 'a l	 s 'e p t ə n t ɾ i u n 'a l 
sepultura	s ə p u l t 'u ɾ ə	 s ə p 'u l t 'u ɾ ə 
serp	s 'e r p	 s 'ɛ r p 
serreig	s ə r 'ɛ t ʃ	 s ə r 'ɛ ʃ 
sers	s 'e r s	 s 'e s 
setembre	s ə t 'e m b ɾ ə	 s ə t 'ɛ m b ɾ ə 
setge	s 'e d ʒ ə	 s 'ɛ d ʒ ə 
setges	s 'e d ʒ ə s	 s 'ɛ d ʒ ə s 
seu	s 'e w	 s 'ɛ w 
Seül	s ə 'u l	 s 'e 'u l 
seus	s 'e w s	 s 'ɛ w s 
seva	s 'e β ə	 s 'ɛ β ə 
sever	s ə β 'e r	 s ə β 'e 
Sever	s ə β 'e r	 s ə β 'e 
seves	s 'e β ə s	 s 'ɛ β ə s 
si	s 'i	 s i 
siboc	s i β 'o k	 s i β 'ɔ k 
silesià	s i l ə z i 'a	 s 'i l ə z i 'a 
similar	s i m i l 'a r	 s i m i l 'a 
simultaneïtat	s i m u l t ə n ə i t 'a t	 s i m u l t 'a n ə i t 'a t 
síndria	s 'i n d ɾ i ə	 s 'i n d ɾ 'i ə 
síndrome	s 'i n d ɾ u m ə	 s 'i n d ɾ 'ɔ m ə 
sisè	s i z 'ɛ	 s i s 'ɛ 
sistema	s i s t 'e m ə	 s i s t 'ɛ m ə 
sitiet	s i t i 'ɛ t	 s i t 'i 'ɛ t 
sobre	s 'o β ɾ ə	 s 'ɔ β ɾ ə 
sobretot	s u β ɾ ə t 'o t	 s u β ɾ ə t 'ɔ t 
sobreviscuda	s u β ɾ ə β i s k 'u ð ə	 s u β ɾ ə β 'i s k 'u ð ə 
sobreviscudes	s u β ɾ ə β i s k 'u ð ə s	 s u β ɾ ə β 'i s k 'u ð ə s 
sobreviscut	s u β ɾ ə β i s k 'u t	 s u β ɾ ə β 'i s k 'u t 
sobreviscuts	s u β ɾ ə β i s k 'u t s	 s u β ɾ ə β 'i s k 'u t s 
sobta	s 'o p t ə	 s 'ɔ b t ə 
sobtis	s 'ɔ p t i s	 s 'ɔ b t i s 
socórrer	s u k 'o r ə	 s u k 'o r 'e 
soferts	s u f 'ɛ r s	 s u f 'ɛ r t s 
sofre	s 'o f ɾ ə	 s 'ɔ f ɾ ə 
sofriment	s u f ɾ i m 'e n	 s 'ɔ f ɾ i m 'e n 
solar	s u l 'a r	 s u l 'a 
solc	s 'ɔ l k	 s 'o l k 
solell	s u l 'ɛ ʎ	 s u l 'e ʎ 
solquen	s 'o l k ə n	 s 'ɔ l k ə n 
solraig	s u l r 'a t ʃ	 s u l r 'a 'i ə 
solsonenc	s u l s u n 'ɛ ŋ	 s u l s u n 'ɛ n s 
son	s 'ɔ n	 s 'o n 
sona	s 'ɔ n ə	 s 'o n ə 
sonda	s 'o n d ə	 s 'ɔ n d ə 
sondeig	s u n d 'ɛ t ʃ	 s u n d 'ɛ ʃ 
sondes	s 'o n d ə s	 s 'ɔ n d ə s 
sones	s 'ɔ n ə s	 s 'o n ə s 
soni	s 'ɔ n i	 s 'o n i 
sonin	s 'ɔ n i n	 s 'o n i n 
sonis	s 'ɔ n i s	 s 'o n i s 
sonor	s u n 'o r	 s u n 'o 
sons	s 'ɔ n s	 s 'o n s 
sopa	s 'o p ə	 s 'ɔ p ə 
sopen	s 'o p ə n	 s 'ɔ p ə n 
sopes	s 'o p ə s	 s 'ɔ p ə s 
sopluig	s u p l 'u t ʃ	 s 'ɔ p l 'u ʃ 
sopor	s u p 'o r	 s u p 'o 
sorgiment	s u r ʒ i m 'e n	 s 'ɔ r ʒ i m 'e n 
sorna	s 'o r n ə	 s 'ɔ r n ə 
sorprenentment	s u r p ɾ ə n ə m m 'e n	 s u r p ɾ ə n 'e n ə m 'e n 
sorrenc	s u r 'ɛ ŋ	 s u r 'ɛ ŋ k 
sorrut	s u r 'u t	 s 'o r 'u t 
sort	s 'ɔ r t	 s 'o r t 
sorteig	s u r t 'ɛ t ʃ	 s u r t 'ɛ ʃ 
sortenc	s u r t 'ɛ ŋ	 s u r t 'ɛ n s 
sospir	s u s p 'i r	 s u s p 'i 
sota	s 'o t ə	 s 'ɔ t ə 
soterrament	s u t ə r ə m 'e n	 s u t 'ɛ r ə m 'e n 
sotmetiment	s u d m ə t i m 'e n	 s u d m 'ɛ t i m 'e n 
sotragueig	s u t ɾ ə ɣ 'ɛ t ʃ	 s u t ɾ ə ɣ u 'ɛ ʃ 
sous	s 'ɔ w s	 s 'o w s 
sovintejada	s u β i n t ə ʒ 'a ð ə	 s u β 'i n t ə ʒ 'a ð ə 
sovintejades	s u β i n t ə ʒ 'a ð ə s	 s u β 'i n t ə ʒ 'a ð ə s 
sovintejar	s u β i n t ə ʒ 'a	 s u β 'i n t ə ʒ 'a 
sovintejat	s u β i n t ə ʒ 'a t	 s u β 'i n t ə ʒ 'a t 
sovintejats	s u β i n t ə ʒ 'a t s	 s u β 'i n t ə ʒ 'a t s 
subaltern	s u p ə l t 'ɛ r n	 s u β ə l t 'ɛ r n 
subalterna	s u p ə l t 'ɛ r n ə	 s u β ə l t 'ɛ r n ə 
subalternes	s u p ə l t 'ɛ r n ə s	 s u β ə l t 'ɛ r n ə s 
subaquàtic	s u p ə k w 'a t i k	 s u β ə k w 'a t i k 
subhasta	s u β 'a s t ə	 s u β u 'a s t ə 
subjecte	s u b ʒ 'e k t ə	 s u b ʒ 'ɛ k t ə 
sublim	s u β l 'i m	 s u p l 'i m 
subministrament	s u b m i n i s t ɾ ə m 'e n	 s u b m i n 'i s t ɾ ə m 'e n 
subratllades	s u β ɾ ə ʎ ʎ 'a ð ə s	 s u β ɾ 'a t ə l 'a ð ə s 
subratllar	s u b r ə ʎ ʎ 'a	 s u β ɾ ə ʎ ʎ 'a 
subrogar	s u b r u ɣ 'a	 s u β ɾ u ɣ 'a 
subsaharià	s u p s ə ə ɾ i 'a	 s u p s ə β ə ɾ i 'a 
succeït	s u k s ə 'i t	 s u k s 'e 'i t 
sud	s 'u t	 s 'u d 
suficientment	s u f i s i ə m m 'e n	 s u f i s i 'e n ə m 'e n 
sulfur	s u l f 'u r	 s u l f 'u 
superior	s u p ə ɾ i 'o r	 s u p ə ɾ i 'o 
supero	s u p 'e ɾ u	 s u p 'ɛ ɾ u 
suplement	s u p l ə m 'e n	 s 'u p l ə m 'e n 
suport	s u p 'ɔ r t	 s u p 'o r t 
suprem	s u p ɾ 'e m	 s u p ɾ 'ɛ m 
surenc	s u ɾ 'ɛ ŋ	 s u ɾ 'ɛ n s 
sutzura	s u d z 'u ɾ ə	 s 'u d z 'u ɾ ə 
tabard	t ə β 'a r	 t ə β 'a r t 
tabloide	t ə b b l 'ɔ j ð ə	 t 'a b b l 'ɔ j ð ə 
tafur	t ə f 'u r	 t ə f 'u 
tailandesa	t ə j l ə n d 'ɛ z ə	 t 'a j l ə n d 'ɛ z ə 
tailandeses	t ə j l ə n d 'ɛ z ə s	 t 'a j l ə n d 'ɛ z ə s 
Tailàndia	t ə j l 'a n d i ə	 t ə i l 'a n d i ə 
tanc	t 'a ŋ	 t 'a ŋ k 
tancament	t ə ŋ k ə m 'e n	 t 'a ŋ k ə m 'e n 
tanmateix	t ə m m ə t 'e ʃ	 t ə n m ə t 'e ʃ 
taquiller	t ə k i ʎ 'e	 t ə k 'i ʎ 'e 
tard	t 'a r t	 t 'a r 
tàrtar	t 'a r t ə r	 t 'a r t 'a 
Tàrtar	t 'a r t ə r	 t 'a r t 'a 
tatxonar	t ə t ʃ u n 'a	 t 'a t ʃ u n 'a 
taüt	t ə 'u t	 t 'a 'u t 
te	t 'ə	 t ə 
teatre	t e 'a t ɾ ə	 ə e 'a t ɾ ə 
tecla	t 'e k l ə	 t 'ɛ k l ə 
tecles	t 'e k l ə s	 t 'ɛ k l ə s 
telèfons	t ə l 'ɛ f u n s	 t ə l 'ɛ f 'o n s 
telescopi	t ə l ə s k 'ɔ p i	 t 'ɛ l ə s k 'ɔ p i 
telescòpic	t ə l ə s k 'ɔ p i k	 t 'ɛ l ə s k 'ɔ p i k 
telescòpica	t ə l ə s k 'ɔ p i k ə	 t 'ɛ l ə s k 'ɔ p i k ə 
telescòpics	t ə l ə s k 'ɔ p i k s	 t 'ɛ l ə s k 'ɔ p i k s 
telescòpiques	t ə l ə s k 'ɔ p i k ə s	 t 'ɛ l ə s k 'ɔ p i k ə s 
tellerina	t ə ʎ ə ɾ 'i n ə	 t 'e ʎ ə ɾ 'i n ə 
tem	t 'e m	 t 'ɛ m 
tema	t 'e m ə	 t 'ɛ m ə 
temen	t 'e m ə n	 t 'ɛ m ə n 
témer	t 'e m ə	 t 'e m 'e 
temes	t 'e m ə s	 t 'ɛ m ə s 
temo	t 'e m u	 t 'ɛ m u 
temor	t ə m 'o r	 t ə m 'o 
temperament	t ə m p ə ɾ ə m 'e n	 t ə m p 'ɛ ɾ ə m 'e n 
tempesta	t ə m p 'e s t ə	 t ə m p 'ɛ s t ə 
templa	t 'e m p l ə	 t 'ɛ m p l ə 
temple	t 'e m p l ə	 t 'ɛ m p l ə 
temples	t 'e m p l ə s	 t 'ɛ m p l ə s 
temps	t 'e m s	 t 'ɛ m p s 
tempteig	t ə m t 'ɛ t ʃ	 t ə m p t 'ɛ ʃ 
tenc	t 'ɛ ŋ	 t 'ɛ n s 
tenda	t 'e n d ə	 t 'ɛ n d ə 
tendencioses	t ə n d ə n s i 'o z ə s	 t ə n d ə n s i 'o s ə s 
tendes	t 'e n d ə s	 t 'ɛ n d ə s 
tenebra	t ə n 'e β ɾ ə	 t ə n 'ɛ β ɾ ə 
tenebres	t ə n 'e β ɾ ə s	 t ə n 'ɛ β ɾ ə s 
tenen	t 'e n ə n	 t 'ɛ n ə n 
tenor	t ə n 'o r	 t ə n 'o 
téntol	t 'e n t u l	 t 'e n t 'ɔ l 
Ter	t 'e r	 t 'e 
terme	t 'e r m ə	 t 'ɛ r m ə 
termes	t 'e r m ə s	 t 'ɛ r m ə s 
terrassenc	t ə r ə s 'ɛ ŋ	 t ə r ə s 'ɛ n s 
terrestre	t ə r 'e s t ɾ ə	 t ə r 'ɛ s t ɾ ə 
terrestres	t ə r 'e s t ɾ ə s	 t ə r 'ɛ s t ɾ ə s 
terror	t ə r 'o r	 t ə r 'o 
test	t 'e s t	 t 'ɛ s t 
testa	t 'e s t ə	 t 'ɛ s t ə 
testament	t ə s t ə m 'e n	 t 'ɛ s t ə m 'e n 
testicular	t ə s t i k u l 'a r	 t ə s t i k u l 'a 
testimoni	t ə s t i m 'ɔ n i	 t ə s t i m 'o n i 
testos	t 'e s t u s	 t 'ɛ s t u s 
tètanus	t 'ɛ t ə n u s	 t 'ɛ t ə n 'u s 
tetràgons	t ə t ɾ 'a ɣ u n s	 t ə t ɾ 'a ɣ 'o n s 
teu	t 'e w	 t 'ɛ w 
teuladí	t ə w l ə ð 'i	 t ə w l 'a ð 'i 
teus	t 'e w s	 t 'ɛ w s 
teva	t 'e β ə	 t 'ɛ β ə 
teves	t 'e β ə s	 t 'ɛ β ə s 
text	t 'e k s t	 t 'ɛ k s t 
textos	t 'e k s t u s	 t 'ɛ k s t u s 
tigressa	t i ɣ ɾ 'ɛ s ə	 t i ɣ ɾ 'e s ə 
tinamú	t i n ə m 'u	 t i n 'a m 'u 
tinc	t 'i ŋ	 t 'i ŋ k 
tir	t 'i r	 t 'i 
tiroteig	t i ɾ u t 'ɛ t ʃ	 t i ɾ u t 'ɛ ʃ 
titllada	t i ʎ ʎ 'a ð ə	 t i t ə l 'a ð ə 
titllades	t i ʎ ʎ 'a ð ə s	 t i t ə l 'a ð ə s 
titllat	t i ʎ ʎ 'a t	 t i t ə l 'a t 
titllats	t i ʎ ʎ 'a t s	 t i t ə l 'a t s 
titubeig	t i t u β 'ɛ t ʃ	 t i t u β 'ɛ ʃ 
titular	t i t u l 'a r	 t i t u l 'a 
to	t 'ɔ	 t 'o 
tofenc	t u f 'ɛ ŋ	 t u f 'ɛ n s 
toldran	t u l d ɾ 'a n	 t 'ɔ l d ɾ 'a n 
tomba	t 'o m b ə	 t 'ɔ m b ə 
tomben	t 'o m b ə n	 t 'ɔ m b ə n 
tombes	t 'o m b ə s	 t 'ɔ m b ə s 
tómbol	t 'o m b u l	 t 'o m b 'ɔ l 
ton	t 'u n	 t 'o n 
tons	t 'ɔ n s	 t 'o n s 
tonya	t 'ɔ ɲ ə	 t 'o ɲ ə 
topen	t 'o p ə n	 t 'ɔ p ə n 
topi	t 'o p i	 t 'ɔ p i 
topin	t 'o p i n	 t 'ɔ p i n 
topo	t 'o p u	 t 'ɔ p u 
tòrcer	t 'ɔ r s ə	 t 'ɔ r s ə r 
torçuda	t u r s 'u ð ə	 t 'ɔ r s 'u ð ə 
torçudes	t u r s 'u ð ə s	 t 'ɔ r s 'u ð ə s 
torçut	t u r s 'u t	 t 'ɔ r s 'u t 
torçuts	t u r s 'u t s	 t 'ɔ r s 'u t s 
tord	t 'o r t	 t 'o r 
torna	t 'o r n ə	 t 'ɔ r n ə 
torneig	t u r n 'ɛ t ʃ	 t u r n 'ɛ ʃ 
tornen	t 'o r n ə n	 t 'ɔ r n ə n 
tornes	t 'o r n ə s	 t 'ɔ r n ə s 
torni	t 'o r n i	 t 'ɔ r n i 
tornin	t 'o r n i n	 t 'ɔ r n i n 
tornis	t 'o r n i s	 t 'ɔ r n i s 
torno	t 'o r n u	 t 'ɔ r n u 
torra	t 'ɔ r ə	 t 'o r ə 
torre	t 'o r ə	 t 'ɔ r ə 
tors	t 'ɔ r s	 t 'o s 
tort	t 'ɔ r t	 t 'o r t 
tortuga	t u r t 'u ɣ ə	 t 'ɔ r t 'u ɣ ə 
tortura	t u r t 'u ɾ ə	 t 'ɔ r t 'u ɾ ə 
tortures	t u r t 'u ɾ ə s	 t 'ɔ r t 'u ɾ ə s 
torturo	t u r t 'u ɾ u	 t 'ɔ r t 'u ɾ u 
tosca	t 'o s k ə	 t 'ɔ s k ə 
tossut	t u s 'u t	 t 'ɔ s 'u t 
tot	t 'o t	 t 'ɔ t 
tota	t 'o t ə	 t 'ɔ t ə 
totes	t 'o t ə s	 t 'ɔ t ə s 
tothom	t u t 'ɔ m	 t u t 'a m 
tothora	t u t 'ɔ ɾ ə	 t u t i 'o ɾ ə 
totxo	t 'o t ʃ u	 t 'ɔ t ʃ u 
tova	t 'o β ə	 t 'ɔ β ə 
trabeació	t ɾ ə β e ə s i 'o	 t ɾ ə β ə ə s i 'o 
tractament	t ɾ ə k t ə m 'e n	 t ɾ 'a k t ə m 'e n 
transcendència	t ɾ ə s ə n d 'ɛ n s i ə	 t ɾ ə n s ə n d 'ɛ n s i ə 
transcórrer	t ɾ ə n s k 'o r ə	 t ɾ ə n s k 'o r 'e 
transició	t ɾ ə n z i s i 'o	 t ɾ ə n s i s i 'o 
transigir	t ɾ ə n z i ʒ 'i	 t ɾ ə n s i ʒ 'i 
transitar	t ɾ ə n z i t 'a	 t ɾ ə n s i t 'a 
transitiu	t ɾ ə n z i t 'i w	 t ɾ ə n s i t 'i w 
transitiva	t ɾ ə n z i t 'i β ə	 t ɾ ə n s i t 'i β ə 
transitori	t ɾ ə n z i t 'ɔ ɾ i	 t ɾ ə n s i t 'ɔ ɾ i 
Transnístria	t ɾ ə n z n 'i s t ɾ i ə	 t ɾ ə n s n 'i s t ɾ 'i ə 
transsexual	t ɾ ə n s ə k s u 'a l	 t ɾ 'a n s ə k s u 'a l 
transsexualitat	t ɾ ə n s ə k s u ə l i t 'a t	 t ɾ 'a n s ə k s u ə l i t 'a t 
transsiberià	t ɾ ə n s i β ə ɾ i 'a	 t ɾ 'a n s i β ə ɾ i 'a 
Transsiberià	t ɾ ə n s i β ə ɾ i 'a	 t ɾ 'a n s i β ə ɾ i 'a 
trapezista	t ɾ ə p ə z 'i s t ə	 t ɾ 'a p ə z 'i s t ə 
trapezoide	t ɾ ə p ə z 'ɔ j ð ə	 t ɾ 'a p ə z 'ɔ j ð ə 
tràquea	t ɾ 'a k e ə	 t ɾ 'a k ə ə 
trasplantament	t ɾ ə s p l ə n t ə m 'e n	 t ɾ ə s p l 'a n t ə m 'e n 
travessada	t ɾ ə β ə s 'a ð ə	 t ɾ 'a β ə s 'a ð ə 
travessades	t ɾ ə β ə s 'a ð ə s	 t ɾ 'a β ə s 'a ð ə s 
travessar	t ɾ ə β ə s 'a	 t ɾ 'a β ə s 'a 
travessat	t ɾ ə β ə s 'a t	 t ɾ 'a β ə s 'a t 
travessats	t ɾ ə β ə s 'a t s	 t ɾ 'a β ə s 'a t s 
travessia	t ɾ ə β ə s 'i ə	 t ɾ 'a β ə s 'i ə 
travessies	t ɾ ə β ə s 'i ə s	 t ɾ 'a β ə s 'i ə s 
tremp	t ɾ 'e m	 t ɾ 'ɛ m p 
Tremp	t ɾ 'e m	 t ɾ 'ɛ m p 
trenc	t ɾ 'ɛ ŋ	 t ɾ 'ɛ n s 
trencament	t ɾ ə ŋ k ə m 'e n	 t ɾ 'ɛ ŋ k ə m 'e n 
trenqués	t ɾ ə ŋ k 'e s	 t ɾ 'ɛ ŋ k 'e s 
trens	t ɾ 'ɛ n s	 t ɾ 'e n s 
trenta	t ɾ 'ɛ n t ə	 t ɾ 'e n t ə 
trentes	t ɾ 'ɛ n t ə s	 t ɾ 'e n t ə s 
trepa	t ɾ 'e p ə	 t ɾ 'ɛ p ə 
trepes	t ɾ 'e p ə s	 t ɾ 'ɛ p ə s 
trepig	t ɾ ə p 'i t ʃ	 t ɾ ə p 'i ɣ 
tresor	t ɾ ə z 'ɔ r	 t ɾ ə z 'o 
tret	t ɾ 'e t	 t ɾ 'ɛ t 
treta	t ɾ 'e t ə	 t ɾ 'ɛ t ə 
tretes	t ɾ 'e t ə s	 t ɾ 'ɛ t ə s 
trets	t ɾ 'e t s	 t ɾ 'ɛ t s 
tretze	t ɾ 'e d z ə	 t ɾ 'ɛ d z ə 
treva	t ɾ 'e β ə	 t ɾ 'ɛ β ə 
trinxeraire	t ɾ i n ʃ ə ɾ 'a j ɾ ə	 t ɾ i n ʃ ə ɾ 'a 'i ɾ ə 
triumvirat	t ɾ i w m b i ɾ 'a t	 t ɾ i u m b i ɾ 'a t 
tro	t ɾ 'ɔ	 t ɾ 'o 
