A	'ə	ə
negues	n 'e ɣ ə s	n 'e ɣ ə s
néixer	n 'e ʃ ə	n ə ʃ 'e 
Nèmesi	n 'e m ə z i	n 'ə m ə z i
nens	n 'ə n s	n 'e n s
neulir	n ə w l 'i	n ə u l 'i
neva	n 'e v ə	n 'ə v ə
nicens	n i s 'ə n s	n i s 'e n s
nimfea	n i m f 'e ə	n i m f 'e ə
noieta	n o j 'ə t ə	n o i 'ə t ə
nombre	n 'o m b ɾ ə	n 'o m b ɾ ə
nombres	n 'o m b ɾ ə s	n 'o m b ɾ ə s
Nombres	n 'o m b ɾ ə s	n 'o m b ɾ ə s
nores	n 'o ɾ ə s	n 'o ɾ ə s
noucentisme	n o w s ə n t 'i z m ə	n o u s ə n t 'i z m ə
nouguerola	n o w ɣ ə ɾ 'o l ə	n o u ɣ ə ɾ 'o l ə
novembre	n o v 'e m b ɾ ə	n o v 'ə m b ɾ ə
noya	n 'o j ə	n 'o ə
o	'o	'o
oasi	o 'a z i	o 'a s i
obeïts	o β ə 'i t s	o β ə 'i s
obliquar	o β l i k w 'a	o β l i k 'a
obstacle	o p s t 'a k l ə	o t s t 'a k l ə
obstinació	o p s t i n ə s i 'o	o t s t i n ə s i 'o
obstruïda	o p s t ɾ u 'i ð ə	o t s t ɾ u 'i ð ə
obstruïdes	o p s t ɾ u 'i ð ə s	o t s t ɾ u 'i ð ə s
odissea	o ð i s 'e ə	o ð i s 'e ə
ofego	o f 'ə ɣ o	o f 'e ɣ o
ofegues	o f 'ə ɣ ə s	o f 'e ɣ ə s
ofèn	o f 'ə n	o f 'e n
oidà	o j ð 'a	o i ð 'a
oïts	o 'i t s	o 'i s
oligàrquica	o l i ɣ 'a ɾ k i k ə	o l i ɣ ə ɾ k 'i k ə
oligàrquics	o l i ɣ 'a ɾ k i t s	o l i ɣ ə ɾ k 'i t s
ombra	'o m b ɾ ə	'o m b ɾ ə
ombres	'o m b ɾ ə s	'o m b ɾ ə s
omple	'o m p l ə	'o m p l ə
omplen	'o m p l ə n	'o m p l ə n
omples	'o m p l ə s	'o m p l ə s
omplo	'o m p l o	'o m p l o
oncle	'o ŋ k l ə	'o ŋ k l ə
oncles	'o ŋ k l ə s	'o ŋ k l ə s
onzes	'o n z ə s	'o n z ə s
opta	'o t t ə	'o t t ə
opten	'o t t ə n	'o t t ə n
opto	'o t t o	'o t t o
orca	'o ɾ k ə	'o ɾ k ə
orde	'o ɾ ð ə	'o ɾ ð ə
ordes	'o ɾ ð ə s	'o ɾ ð ə s
ordre	'o ɾ ð ɾ ə	'o ɾ ð ɾ ə
ordres	'o ɾ ð ɾ ə s	'o ɾ ð ɾ ə s
orella	o ɾ 'ə ʎ ə	o ɾ 'e ʎ ə
orenga	o ɾ 'ə ŋ g ə	o ɾ 'e ŋ g ə
ornament	o ɾ n ə m 'e n t	o ɾ n ə m 'e n t
orques	'o ɾ k ə s	'o ɾ k ə s
ortodoxa	o ɾ t o ð 'o t s ə	o ɾ t o ð 'o t s ə
Òscar	'o s k ə	o s k 'a
òstria	'o s t ɾ i ə	o s t ɾ 'i ə
ou	'o w	'o
ovella	o v 'ə ʎ ə	o v 'e ʎ ə
ovelles	o v 'ə ʎ ə s	o v 'e ʎ ə s
paio	p 'a j o	p 'a i o
pairal	p ə j ɾ 'a l	p ə i ɾ 'a l
paisatge	p ə j z 'a dʒ ə	p ə i z 'a dʒ ə
païts	p ə 'i t s	p ə 'i s
Pakistan	p ə k i s t 'a n	p ə z i s t 'a n
pakistanès	p ə k i s t ə n 'ə s	p ə z i s t ə n 'ə s
pakistanesa	p ə k i s t ə n 'ə z ə	p ə z i s t ə n 'ə z ə
pakistaneses	p ə k i s t ə n 'ə z ə s	p ə z i s t ə n 'ə z ə s
pakistanesos	p ə k i s t ə n 'ə z o s	p ə z i s t ə n 'ə z o s
palaí	p ə l ə 'i	p ə l 'a
pandemoni	p ə n d ə m 'o n i	p ə n d ə m 'o n i
papagai	p ə p ə ɣ 'a j	p ə p ə ɣ 'a i
papiroflèxia	p ə p i ɾ o f l 'e t s i ə	p ə p i ɾ o f l 'ə t s i ə
paranoic	p ə ɾ ə n 'o j k	p ə ɾ ə n o 'i k
paraula	p ə ɾ 'a w l ə	p ə ɾ ə 'u l ə
parell	p ə ɾ 'ə ʎ	p ə ɾ 'e ʎ
parella	p ə ɾ 'ə ʎ ə	p ə ɾ 'e ʎ ə
parènquima	p ə ɾ 'ə ŋ k i m ə	p ə ɾ ə ŋ k 'i m ə
parer	p ə ɾ 'ə	p ə ɾ 'e
parisenc	p ə ɾ i z 'ə ŋ k	p ə ɾ i s 'ə ŋ k
parlotaire	p ə ɾ l o t 'a j ɾ ə	p ə ɾ l o t 'a i ɾ ə
pàrquing	p 'a ɾ k i ŋ k	p ə ɾ k 'i ŋ k
pasqüeta	p ə s k w 'ə t ə	p ə z ə w 'ə t ə
passaports	p ə s ə p 'o ɾ s	p ə s ə p 'o ɾ s
patogènesi	p ə t o ʒ 'e n ə z i	p ə t o ʒ 'ə n ə z i
patrimoni	p ə t ɾ i m 'o n i	p ə t ɾ i m 'o n i
peatge	p e 'a dʒ ə	p ə 'a dʒ ə
pedra	p 'e ð ɾ ə	p 'ə ð ɾ ə
pedres	p 'e ð ɾ ə s	p 'ə ð ɾ ə s
pego	p 'e ɣ o	p 'ə ɣ o
peguen	p 'e ɣ ə n	p 'e ɣ ə n
péixer	p 'e ʃ ə	p ə ʃ 'e 
peixos	p 'e ʃ o s	p 'ə ʃ o s
pèl	p 'ə l	p 'e l
pendeloc	p ə n d ə l 'o k	p ə n d ə l 'o k
penetra	p ə n 'e t ɾ ə	p ə n 'ə t ɾ ə
pengen	p 'e n ʒ ə n	p 'e n ʒ ə n
penges	p 'e n ʒ ə s	p 'e n ʒ ə s
penja	p 'e n ʒ ə	p 'ə n ʒ ə
penombra	p ə n 'o m b ɾ ə	p ə n 'o m b ɾ ə
pens	p 'ə n s	p 'e n s
pequen	p 'e k ə n	p 'e k ə n
pèr	p 'e	p 'ə
pera	p 'ə ɾ ə	p 'e ɾ ə
Pere	p 'e ɾ ə	p 'e ɾ ə
perenne	p ə ɾ 'e n n ə	p ə ɾ 'e n n ə
peres	p 'ə ɾ ə s	p 'e ɾ ə s
perilloses	p ə ɾ i ʎ 'o z ə s	p ə ɾ i ʎ 'o s ə s
peritoneal	p ə ɾ i t o n e 'a l	p ə ɾ i t o n ə 'a l
peritoneals	p ə ɾ i t o n e 'a l s	p ə ɾ i t o n ə 'a l s
peritoneus	p ə ɾ i t o n 'e w s	p ə ɾ i t o n ə 'u s
permeable	p ə ɾ m e 'a b b l ə	p ə ɾ ə e 'a b b l ə
permeables	p ə ɾ m e 'a b b l ə s	p ə ɾ ə e 'a b b l ə s
perpetu	p ə ɾ p 'e t u	p ə ɾ p 'ə t u
perpetuats	p ə ɾ p ə t u 'a t s	p ə ɾ p ə t u 'a s
perseguits	p ə ɾ s ə ɣ 'i t s	p ə ɾ s ə ɣ 'i s
persignada	p ə ɾ s i n n 'a ð ə	p ə ɾ s i ə n 'a ð ə
persignades	p ə ɾ s i n n 'a ð ə s	p ə ɾ s i ə n 'a ð ə s
persignar	p ə ɾ s i n n 'a	p ə ɾ s i ə n 'a
persignat	p ə ɾ s i n n 'a t	p ə ɾ s i ə n 'a t
persignats	p ə ɾ s i n n 'a t s	p ə ɾ s i ə n 'a t s
persuasiu	p ə ɾ s u ə z 'i w	p ə ɾ s u ə s 'i w
pertànyer	p ə ɾ t 'a ɲ ə	p ə ɾ t 'a ɲ e 
pesa	p 'e z ə	p 'ə z ə
pesen	p 'e z ə n	p 'ə z ə n
peses	p 'e z ə s	p 'ə z ə s
pessebre	p ə s 'e β ɾ ə	p ə s 'ə β ɾ ə
petges	p 'e dʒ ə s	p 'ə dʒ ə s
petja	p 'e dʒ ə	p 'ə dʒ ə
pidgin	p 'i dʒ i n	p 'i ð ʒ i n
pigarg	p i ɣ 'a ɾ k	p i ɣ 'a ɾ ə
pigment	p i m m 'e n t	p i ə m 'e n t
pintaungles	p i n t 'a w ŋ g l ə s	p i n t 'a u ŋ g l ə s
Pitiüses	p i t i 'u z ə s	p i t i 'u s ə s
piulada	p i w l 'a ð ə	p i u l 'a ð ə
piular	p i w l 'a	p i u l 'a
pixades	p i ʃ 'a ð ə s	p i t s 'a ð ə s
plaer	p l ə 'ə	p l ə 'e
plàncton	p l 'a ŋ t t o n	p l ə n s t 'o n
plànyer	p l 'a ɲ ə	p l 'a ɲ e 
plegues	p l 'ə ɣ ə s	p l 'e ɣ ə s
plens	p l 'ə n s	p l 'e n s
plomo	p l 'o m o	p l 'o m o
plores	p l 'o ɾ ə s	p l 'o ɾ ə s
pneumàtic	n ə w m 'a t i k	p n ə w m 'a t i k
pneumàtica	n ə w m 'a t i k ə	p n ə w m 'a t i k ə
pneumàtics	n ə w m 'a t i t s	p n ə w m 'a t i t s
pneumònia	n ə w m 'o n i ə	p n ə w m 'o n i ə
poesia	p o ə z 'i ə	p o ə s 'i ə
polla	p 'o ʎ ə	p 'o ʎ ə
poloni	p o l 'o n i	p o l 'o n i
polpa	p 'o l p ə	p 'o l p ə
poltre	p 'o l t ɾ ə	p 'o l t ɾ ə
polze	p 'o l z ə	p 'o l z ə
porpra	p 'o ɾ p ɾ ə	p 'o ɾ p ɾ ə
porro	p 'o r o	p 'o r o
porros	p 'o r o s	p 'o r o s
posseïts	p o s ə 'i t s	p o s ə 'i s
precursor	p ɾ ə k u ɾ s 'o	p ɾ ə k u s 'o
precursora	p ɾ ə k u ɾ s 'o ɾ ə	p ɾ ə k u s 'o ɾ ə
precursores	p ɾ ə k u ɾ s 'o ɾ ə s	p ɾ ə k u s 'o ɾ ə s
prega	p ɾ 'e ɣ ə	p ɾ 'ə ɣ ə
prego	p ɾ 'e ɣ o	p ɾ 'ə ɣ o
prémer	p ɾ 'e m ə	p ɾ ə m 'e 
premsa	p ɾ 'e n s ə	p ɾ 'ə m z ə
prens	p ɾ 'ə n s	p ɾ 'e n s
presta	p ɾ 'e s t ə	p ɾ 'ə s t ə
presten	p ɾ 'e s t ə n	p ɾ 'ə s t ə n
prestes	p ɾ 'e s t ə s	p ɾ 'ə s t ə s
presto	p ɾ 'e s t o	p ɾ 'ə s t o
presumpció	p ɾ ə z u m s i 'o	p ɾ ə z u m p s i 'o
pretendre	p ɾ ə t 'e n d ɾ ə	p ɾ ə t 'ə n d ɾ ə
prevenda	p ɾ ə v 'ə n d ə	p ɾ ə v 'e n d ə
preveure	p ɾ ə v 'ə w ɾ ə	p ɾ ə v 'e w ɾ ə
prínceps	p ɾ 'i n s ə t s	p ɾ i n s 'ə t s
problema	p ɾ o β l 'e m ə	p ɾ o β l 'ə m ə
produïts	p ɾ o ð u 'i t s	p ɾ o ð u 'i s
prohom	p ɾ o 'o m	p ɾ o 'a m
prolixa	p ɾ o l 'i ʃ ə	p ɾ o l 'i t s ə
prona	p ɾ 'o n ə	p ɾ 'o n ə
prones	p ɾ 'o n ə s	p ɾ 'o n ə s
prosseguits	p ɾ o s ə ɣ 'i t s	p ɾ o s ə ɣ 'i s
protesta	p ɾ o t 'e s t ə	p ɾ o t 'ə s t ə
proveïts	p ɾ o v ə 'i t s	p ɾ o v ə 'i s
pseudònim	s ə w ð 'o n i m	t s ə w ð 'o n i m
pseudòpode	s ə w ð 'o p o ð ə	t s ə w ð 'o p o ð ə
pugnada	p u n n 'a ð ə	p u ə n 'a ð ə
pugnades	p u n n 'a ð ə s	p u ə n 'a ð ə s
pugnar	p u n n 'a	p u ə n 'a
púlsar	p 'u l s ə	p u l s 'a
queixa	k 'e ʃ ə	k 'ə ʃ ə
queixo	k 'e ʃ o	k 'ə ʃ o
rabassaire	r ə β ə s 'a j ɾ ə	r ə β ə s 'a i ɾ ə
raima	r 'a j m ə	r 'a i m ə
re	r 'ə	r ə
reaparegut	r e ə p ə ɾ ə ɣ 'u t	r ə ə p ə ɾ ə ɣ 'u t
reapareguts	r e ə p ə ɾ ə ɣ 'u t s	r ə ə p ə ɾ ə ɣ 'u t s
reaparèixer	r e ə p ə ɾ 'ə ʃ ə	r ə ə p ə ɾ 'ə ʃ ə
reca	r 'e k ə	r 'e k ə
recompte	r ə k 'o m t ə	r ə k 'o m t ə
reconstruïts	r ə k o n s t ɾ u 'i t s	r ə k o n s t ɾ u 'i s
rècord	r 'ə k o ɾ t	r 'e k o ɾ t
recorre	r ə k 'o r ə	r ə k 'o r ə
recreatiu	r ə k ɾ e ə t 'i w	r ə k ɾ ə ə t 'i w
redempció	r ə ð ə m s i 'o	r ə ð ə m p s i 'o
reduïts	r ə ð u 'i t s	r ə ð u 'i s
rees	r 'e ə s	r 'e ə s
refet	r ə f 'e t	r ə f 'ə t
refeta	r ə f 'e t ə	r ə f 'ə t ə
reforma	r ə f 'o ɾ m ə	r ə f 'o ɾ m ə
refringir	r ə f ɾ i n ʒ 'i	r ə f ɾ i ŋ g 'i
règies	r 'ə ʒ i ə s	r 'e ʒ i ə s
règim	r 'ə ʒ i m	r 'e ʒ i m
regla	r 'e g g l ə	r 'ə g g l ə
regles	r 'e g g l ə s	r 'e ɣ l ə s
regna	r 'e n n ə	r 'ə n n ə
regne	r 'e n n ə	r 'ə n n ə
regnen	r 'e n n ə n	r 'ə n n ə n
regnes	r 'e n n ə s	r 'ə n n ə s
reialme	r ə j 'a l m ə	r ə i 'a l m ə
reiet	r ə j 'ə t	r ə i 'ə t
reietó	r ə j ə t 'o	r ə i ə t 'o
reiteració	r ə i t ə ɾ ə s i 'o	r ə j t ə ɾ ə s i 'o
reiterada	r ə i t ə ɾ 'a ð ə	r ə j t ə ɾ 'a ð ə
reiterades	r ə i t ə ɾ 'a ð ə s	r ə j t ə ɾ 'a ð ə s
reiterar	r ə i t ə ɾ 'a	r ə j t ə ɾ 'a
reiterat	r ə i t ə ɾ 'a t	r ə j t ə ɾ 'a t
reiterats	r ə i t ə ɾ 'a t s	r ə j t ə ɾ 'a t s
reixa	r 'e ʃ ə	r 'ə ʃ ə
reïxes	r ə 'i ʃ ə s	r ə 'i ə s
rella	r 'ə ʎ ə	r 'e ʎ ə
relles	r 'ə ʎ ə s	r 'e ʎ ə s
relleu	r ə ʎ 'e w	r ə ʎ 'ə w
remo	r 'e m o	r 'ə m o
rèmol	r 'e m o l	r 'ə m o l
renebot	r ə n ə β 'o t	r ə n ə β 'o t
renec	r ə n 'e k	r ə n 'e k
renou	r ə n 'o w	r ə n 'o
renten	r 'e n t ə n	r 'e n t ə n
reposapeus	r ə p o z ə p 'e w s	r ə p o z ə p ə 'u s
reproduïts	r ə p ɾ o ð u 'i t s	r ə p ɾ o ð u 'i s
rere	r 'e ɾ ə	r 'e ɾ ə
resa	r 'e z ə	r 'ə z ə
resclosa	r ə s k l 'o z ə	r ə s k l 'o z ə
resen	r 'e z ə n	r 'ə z ə n
resignar	r ə z i n n 'a	r ə z i ə n 'a
reso	r 'e z o	r 'ə z o
resseguits	r ə s ə ɣ 'i t s	r ə s ə ɣ 'i s
resta	r 'e s t ə	r 'ə s t ə
resten	r 'e s t ə n	r 'ə s t ə n
restes	r 'e s t ə s	r 'ə s t ə s
rètol	r 'e t o l	r 'ə t o l
retreure	r ə t ɾ 'ə w ɾ ə	r ə t ɾ 'e w ɾ ə
retroperitoneal	r ə t ɾ o p ə ɾ i t o n e 'a l	r ə t ɾ o p ə ɾ i t o n ə 'a l
retroperitoneals	r ə t ɾ o p ə ɾ i t o n e 'a l s	r ə t ɾ o p ə ɾ i t o n ə 'a l s
reusenc	r ə w z 'ə ŋ k	r ə w s 'ə ŋ k
reverend	r ə v ə ɾ 'e n t	r ə v ə ɾ 'ə n t
revetlla	r ə v 'e ʎ ʎ ə	r ə v 'ə ʎ ʎ ə
revetla	r ə v 'e l l ə	r ə v 'ə l l ə
reveure	r ə v 'ə w ɾ ə	r ə v 'e w ɾ ə
Ribagorça	r i β ə ɣ 'o ɾ s ə	r i β ə ɣ 'o ɾ s ə
Ricosind	r i k o z 'i n t	r i k o z 'i n ə
rogenc	r o ʒ 'ə ŋ k	r o ʒ 'e ŋ k
rombe	r 'o m b ə	r 'o m b ə
rombes	r 'o m b ə s	r 'o m b ə s
rompre	r 'o m p ɾ ə	r 'o m p ɾ ə
ronca	r 'o ŋ k ə	r 'o ŋ k ə
ronda	r 'o n d ə	r 'o n d ə
rondes	r 'o n d ə s	r 'o n d ə s
rosegaaltars	r o z ə ɣ ə ə l t 'a s	r o z ə ɣ e ə l t 'a s
rossos	r 'o s o s	r 'o s o s
rotonda	r o t 'o n d ə	r o t 'o n d ə
roure	r 'o w ɾ ə	r o 'u ɾ ə
roureda	r o w ɾ 'ə ð ə	r o u ɾ 'ə ð ə
rovell	r o v 'ə ʎ	r o v 'e ʎ
ruixats	r u ʃ 'a t s	r i ʃ 'a t s
sa	s 'ə	s ə
saber	s ə β 'ə	s ə β 'e
sainet	s ə j n 'ə t	s ə i n 'ə t
sancionin	s ə n s i 'o n i n	s ə n s i 'o n i n
sanglot	s ə ŋ g l 'o t	s ə ŋ g l 'o t
sarg	s 'a ɾ k	s 'a ɾ ə
sastressa	s ə s t ɾ 'ə s ə	s ə s t ɾ 'e s ə
seaborgi	s e ə β 'o ɾ ʒ i	s ə ə β 'o ɾ ʒ i
sega	s 'e ɣ ə	s 'ə ɣ ə
sègol	s 'e ɣ o l	s 'ə ɣ o l
Segre	s 'ə ɣ ɾ ə	s 'e ɣ ɾ ə
segrest	s ə ɣ ɾ 'e s t	s ə ɣ ɾ 'ə s t
segues	s 'ə ɣ ə s	s 'e ɣ ə s
seguits	s ə ɣ 'i t s	s ə ɣ 'i s
seient	s ə j 'e n t	s ə i 'e n t
seitó	s ə j t 'o	s ə i t 'o
sembra	s 'e m b ɾ ə	s 'ə m b ɾ ə
semestre	s ə m 'e s t ɾ ə	s ə m 'ə s t ɾ ə
seminoma	s ə m i n 'o m ə	s ə m i n 'o m ə
seminomes	s ə m i n 'o m ə s	s ə m i n 'o m ə s
sempre	s 'e m p ɾ ə	s 'ə m p ɾ ə
sénia	s 'e n i ə	s ə n 'i ə
sens	s 'ə n s	s 'e n s
sense	s 'e n s ə	s 'ə n s ə
senten	s 'e n t ə n	s 'e n t ə n
sento	s 'e n t o	s 'e n t o
sépia	s 'e p i ə	s ə p 'i ə
sequoia	s ə k w 'o j ə	s ə k 'o j ə
sèsam	s 'e z ə m	s 'ə z ə m
setembre	s ə t 'e m b ɾ ə	s ə t 'ə m b ɾ ə
setge	s 'e dʒ ə	s 'ə dʒ ə
setges	s 'e dʒ ə s	s 'ə dʒ ə s
seua	s 'e w ə	s 'ə w ə
seure	s 'ə w ɾ ə	s 'e w ɾ ə
seva	s 'e v ə	s 'ə v ə
sèver	s 'e v ə	s ə v 'e 
seves	s 'e v ə s	s 'ə v ə s
siboc	s i β 'o k	s i β 'o k
signada	s i n n 'a ð ə	s i ə n 'a ð ə
signades	s i n n 'a ð ə s	s i ə n 'a ð ə s
signar	s i n n 'a	s i ə n 'a
Silèsia	s i l 'e z i ə	s i l 'ə z i ə
sinagoga	s i n ə ɣ 'o ɣ ə	s i n ə ɣ 'o ɣ ə
síndria	s 'i n d ɾ i ə	s i n d ɾ 'i ə
síndrome	s 'i n d ɾ o m ə	s i n d ɾ 'o m ə
sisè	s i z 'ə	s i s 'ə
sistema	s i s t 'e m ə	s i s t 'ə m ə
sobre	s 'o β ɾ ə	s 'o β ɾ ə
sobta	s 'o t t ə	s 'o t t ə
sofre	s 'o f ɾ ə	s 'o f ɾ ə
solell	s o l 'ə ʎ	s o l 'e ʎ
solquen	s 'o l k ə n	s 'o l k ə n
sonda	s 'o n d ə	s 'o n d ə
sondes	s 'o n d ə s	s 'o n d ə s
sones	s 'o n ə s	s 'o n ə s
sopa	s 'o p ə	s 'o p ə
sopen	s 'o p ə n	s 'o p ə n
sopes	s 'o p ə s	s 'o p ə s
sorda	s 'o ɾ ð ə	s 'o ɾ ð ə
sordes	s 'o ɾ ð ə s	s 'o ɾ ð ə s
sorna	s 'o ɾ n ə	s 'o ɾ n ə
sostre	s 'o s t ɾ ə	s 'o s t ɾ ə
sostres	s 'o s t ɾ ə s	s 'o s t ɾ ə s
sostreure	s o s t ɾ 'ə w ɾ ə	s o s t ɾ 'e w ɾ ə
sota	s 'o t ə	s 'o t ə
sous	s 'o w s	s 'o s
subratllades	s u β ɾ ə l ʎ ʎ 'a ð ə s	s u β ɾ ə ʎ ʎ 'a ð ə s
subscriure	s u p s k ɾ 'i w ɾ ə	s u t s k ɾ 'i w ɾ ə
substància	s u p s t 'a n s i ə	s u t s t 'a n s i ə
substantiu	s u p s t ə n t 'i w	s u t s t ə n t 'i w
substantius	s u p s t ə n t 'i w s	s u t s t ə n t 'i w s
succeïts	s u t s ə 'i t s	s u t s ə 'i s
súcube	s 'u k u β ə	s u k 'u β ə
sucursal	s u k u ɾ s 'a l	s u k u ə s 'a l
sucursals	s u k u ɾ s 'a l s	s u k u ə s 'a l s
Suècia	s u 'ə s i ə	s u t s i ə
súper	s 'u p ə	s u p 'e 
Tailàndia	t ə j l 'a n d i ə	t ə i l 'a n d i ə
tàlveg	t 'a l v ə k	t 'a l v ə ɣ
tangent	t ə n ʒ 'e n t	t ə ŋ g 'e n t
tanoca	t ə n 'o k ə	t ə n 'o k ə
taquimètric	t ə k i m 'e t ɾ i k	t ə k i m 'ə t ɾ i k
tàtar	t 'a t ə	t ə t 'a
tatuats	t ə t u 'a t s	t ə t u 'a s
tecla	t 'e k l ə	t 'e k l ə
tecles	t 'e k l ə s	t 'e k l ə s
telèfon	t ə l 'e f o n	t ə l 'ə f o n
telèfons	t ə l 'e f o n s	t ə l 'ə f o n s
telègraf	t ə l 'e ɣ ɾ ə f	t ə l 'ə ɣ ɾ ə f
tema	t 'e m ə	t 'ə m ə
temen	t 'e m ə n	t 'ə m ə n
témer	t 'e m ə	t ə m 'e 
temes	t 'e m ə s	t 'ə m ə s
temo	t 'e m o	t 'ə m o
tempesta	t ə m p 'e s t ə	t ə m p 'ə s t ə
templa	t 'e m p l ə	t 'ə m p l ə
temple	t 'e m p l ə	t 'ə m p l ə
temples	t 'e m p l ə s	t 'ə m p l ə s
tendenciosa	t ə n d ə n s i 'o z ə	t ə n d ə n s i 'o s ə
tendencioses	t ə n d ə n s i 'o z ə s	t ə n d ə n s i 'o s ə s
tendenciosos	t ə n d ə n s i 'o z o s	t ə n d ə n s i 'o s o s
tenebra	t ə n 'e β ɾ ə	t ə n 'ə β ɾ ə
tenebres	t ə n 'e β ɾ ə s	t ə n 'ə β ɾ ə s
tenen	t 'e n ə n	t 'ə n ə n
téntol	t 'e n t o l	t ə n t 'o l
termogènesi	t ə ɾ m o ʒ 'e n ə z i	t ə ɾ m o ʒ 'ə n ə z i
terrestre	t ə r 'e s t ɾ ə	t ə r 'ə s t ɾ ə
terrestres	t ə r 'e s t ɾ ə s	t ə r 'ə s t ɾ ə s
terrissaire	t ə r i s 'a j ɾ ə	t ə r i s 'a i ɾ ə
Teseu	t ə z 'e w	t ə s 'e w
testimoni	t ə s t i m 'o n i	t ə s t i m 'o n i
tètan	t 'e t ə n	t 'ə t ə n
tètanus	t 'e t ə n u s	t ə t ə n 'u s
tètol	t 'e t o l	t 'ə t o l
teva	t 'e v ə	t 'ə v ə
teves	t 'e v ə s	t 'ə v ə s
tomba	t 'o m b ə	t 'o m b ə
tomben	t 'o m b ə n	t 'o m b ə n
tombes	t 'o m b ə s	t 'o m b ə s
tonya	t 'o ɲ ə	t 'o ɲ ə
topa	t 'o p ə	t 'o p ə
topen	t 'o p ə n	t 'o p ə n
topo	t 'o p o	t 'o p o
torba	t 'o ɾ β ə	t 'o ɾ β ə
torben	t 'o ɾ β ə n	t 'o ɾ β ə n
torna	t 'o ɾ n ə	t 'o ɾ n ə
tornen	t 'o ɾ n ə n	t 'o ɾ n ə n
tornes	t 'o ɾ n ə s	t 'o ɾ n ə s
torno	t 'o ɾ n o	t 'o ɾ n o
torra	t 'o r ə	t 'o r ə
torraina	t o r 'a j n ə	t o r 'a i n ə
torre	t 'o r ə	t 'o r ə
tosca	t 'o s k ə	t 'o s k ə
tota	t 'o t ə	t 'o t ə
totes	t 'o t ə s	t 'o t ə s
totxo	t 'o tʃ o	t 'o tʃ o
traduïts	t ɾ ə ð u 'i t s	t ɾ ə ð u 'i s
traïts	t ɾ ə 'i t s	t ɾ ə 'i s
tràquea	t ɾ 'a k e ə	t ɾ 'a k ə ə
traqueal	t ɾ ə k e 'a l	t ɾ ə k ə 'a l
traqueals	t ɾ ə k e 'a l s	t ɾ ə k ə 'a l s
trèmol	t ɾ 'e m o l	t ɾ 'ə m o l
tremp	t ɾ 'e m p	t ɾ 'ə m p
Tremp	t ɾ 'e m p	t ɾ 'ə m p
trenqui	t ɾ 'e ŋ k i	t ɾ 'ə ŋ k i
trenquin	t ɾ 'e ŋ k i n	t ɾ 'ə ŋ k i n
trenquis	t ɾ 'e ŋ k i s	t ɾ 'ə ŋ k i s
trens	t ɾ 'ə n s	t ɾ 'e n s
trepa	t ɾ 'e p ə	t ɾ 'ə p ə
trepes	t ɾ 'e p ə s	t ɾ 'ə p ə s
trepig	t ɾ ə p 'i tʃ	t ɾ ə p 'i ə
tret	t ɾ 'e t	t ɾ 'ə t
treta	t ɾ 'e t ə	t ɾ 'ə t ə
tretes	t ɾ 'e t ə s	t ɾ 'ə t ə s
trets	t ɾ 'e t s	t ɾ 'ə t s
tretze	t ɾ 'e d z ə	t ɾ 'ə d z ə
treure	t ɾ 'ə w ɾ ə	t ɾ 'e w ɾ ə
treus	t ɾ 'e w s	t ɾ 'ə w s
treva	t ɾ 'e v ə	t ɾ 'ə v ə
Trèveris	t ɾ 'e v ə ɾ i s	t ɾ 'ə v ə ɾ i s
trimestre	t ɾ i m 'e s t ɾ ə	t ɾ i m 'ə s t ɾ ə
trinxeraire	t ɾ i n ʃ ə ɾ 'a j ɾ ə	t ɾ i n ʃ ə ɾ ə 'i ɾ ə
troià	t ɾ o j 'a	t ɾ o i 'a
tromba	t ɾ 'o m b ə	t ɾ 'o m b ə
trompa	t ɾ 'o m p ə	t ɾ 'o m p ə
trompes	t ɾ 'o m p ə s	t ɾ 'o m p ə s
tropa	t ɾ 'o p ə	t ɾ 'o p ə
tropes	t ɾ 'o p ə s	t ɾ 'o p ə s
tsar	t s 'a	ə z 'a
uigur	u j ɣ 'u	u tʃ 'u
ull	'u j	'u ʎ
ultimàtum	u l t i m 'a t u m	u l t i m ə t 'u m
vainilla	v ə j n 'i ʎ ə	v ə i n 'i ʎ ə
vainilles	v ə j n 'i ʎ ə s	v ə i n 'i ʎ ə s
València	v ə l 'e n s i ə	v ə l 'ə n s i ə
valer	v ə l 'ə	v ə l 'e
varius	v ə ɾ 'i w s	v ə ɾ i 'u s
ve	v 'e	v 'ə
venda	v 'ə n d ə	v 'e n d ə
vènet	v 'e  n ə t	v 'ə n ə t
vènia	v 'e  n i ə	v 'e n i ə
ventrell	v ə n t ɾ 'ə ʎ	v ə n t ɾ 'e ʎ
Venus	v 'e n u s	v 'ə n u s
vespa	v 'e s p ə	v 'ə s p ə
vespre	v 'e s p ɾ ə	v 'ə s p ɾ ə
vetlla	v 'e ʎ ʎ ə	v 'ə ʎ ʎ ə
vetla	v 'e l l ə	v 'ə l l ə
veure	v 'ə w ɾ ə	v 'e w ɾ ə
Vicent	v i s 'e n t	v i s 'e n t
vicesecretari	v i s ə s ə k ɾ ə t 'a ɾ i	v i s ə z ə k ɾ ə t 'a ɾ i
vigència	v i ʒ 'e  n s i ə	v i ʒ 'e n s i ə
vigèsim	v i ʒ 'e  z i m	v i ʒ 'e z i m
violència	v i o l 'e  n s i ə	v i o l 'e n s i ə
