A	'ə	ə
reiterada	r ə i t ə ɾ 'a ð ə	r ə j t ə ɾ 'a ð ə
reiterades	r ə i t ə ɾ 'a ð ə s	r ə j t ə ɾ 'a ð ə s
reiterar	r ə i t ə ɾ 'a	r ə j t ə ɾ 'a
reiterat	r ə i t ə ɾ 'a t	r ə j t ə ɾ 'a t
reiterats	r ə i t ə ɾ 'a t s	r ə j t ə ɾ 'a t s
reixa	r 'e ʃ ə	r 'ə ʃ ə
reïxes	r ə 'i ʃ ə s	r ə 'i ə s
rella	r 'ə ʎ ə	r 'e ʎ ə
relles	r 'ə ʎ ə s	r 'e ʎ ə s
relleu	r ə ʎ 'e w	r ə ʎ 'ə w
remo	r 'e m o	r 'ə m o
rèmol	r 'e m o l	r 'ə m o l
renou	r ə n 'o w	r ə n 'o
reposapeus	r ə p o z ə p 'e w s	r ə p o z ə p ə 'u s
reproduïts	r ə p ɾ o ð u 'i t s	r ə p ɾ o ð u 'i s
resa	r 'e z ə	r 'ə z ə
resen	r 'e z ə n	r 'ə z ə n
resignar	r ə z i n n 'a	r ə z i ə n 'a
reso	r 'e z o	r 'ə z o
resseguits	r ə s ə ɣ 'i t s	r ə s ə ɣ 'i s
resta	r 'e s t ə	r 'ə s t ə
resten	r 'e s t ə n	r 'ə s t ə n
restes	r 'e s t ə s	r 'ə s t ə s
rètol	r 'e t o l	r 'ə t o l
retreure	r ə t ɾ 'ə w ɾ ə	r ə t ɾ 'e w ɾ ə
retroperitoneal	r ə t ɾ o p ə ɾ i t o n e 'a l	r ə t ɾ o p ə ɾ i t o n ə 'a l
retroperitoneals	r ə t ɾ o p ə ɾ i t o n e 'a l s	r ə t ɾ o p ə ɾ i t o n ə 'a l s
reusenc	r ə w z 'ə ŋ k	r ə w s 'ə ŋ k
reverend	r ə v ə ɾ 'e n t	r ə v ə ɾ 'ə n t
revetlla	r ə v 'e ʎ ʎ ə	r ə v 'ə ʎ ʎ ə
revetla	r ə v 'e l l ə	r ə v 'ə l l ə
reveure	r ə v 'ə w ɾ ə	r ə v 'e w ɾ ə
Ricosind	r i k o z 'i n t	r i k o z 'i n ə
rogenc	r o ʒ 'ə ŋ k	r o ʒ 'e ŋ k
rosegaaltars	r o z ə ɣ ə ə l t 'a s	r o z ə ɣ e ə l t 'a s
roure	r 'o w ɾ ə	r o 'u ɾ ə
roureda	r o w ɾ 'ə ð ə	r o u ɾ 'ə ð ə
rovell	r o v 'ə ʎ	r o v 'e ʎ
ruixats	r u ʃ 'a t s	r i ʃ 'a t s
sa	s 'ə	s ə
saber	s ə β 'ə	s ə β 'e
sainet	s ə j n 'ə t	s ə i n 'ə t
sarg	s 'a ɾ k	s 'a ɾ ə
sastressa	s ə s t ɾ 'ə s ə	s ə s t ɾ 'e s ə
seaborgi	s e ə β 'o ɾ ʒ i	s ə ə β 'o ɾ ʒ i
sega	s 'e ɣ ə	s 'ə ɣ ə
sègol	s 'e ɣ o l	s 'ə ɣ o l
Segre	s 'ə ɣ ɾ ə	s 'e ɣ ɾ ə
segrest	s ə ɣ ɾ 'e s t	s ə ɣ ɾ 'ə s t
segues	s 'ə ɣ ə s	s 'e ɣ ə s
seguits	s ə ɣ 'i t s	s ə ɣ 'i s
seient	s ə j 'e n t	s ə i 'e n t
seitó	s ə j t 'o	s ə i t 'o
sembra	s 'e m b ɾ ə	s 'ə m b ɾ ə
semestre	s ə m 'e s t ɾ ə	s ə m 'ə s t ɾ ə
sempre	s 'e m p ɾ ə	s 'ə m p ɾ ə
sénia	s 'e n i ə	s ə n 'i ə
sens	s 'ə n s	s 'e n s
sense	s 'e n s ə	s 'ə n s ə
sépia	s 'e p i ə	s ə p 'i ə
sequoia	s ə k w 'o j ə	s ə k 'o j ə
sèsam	s 'e z ə m	s 'ə z ə m
setembre	s ə t 'e m b ɾ ə	s ə t 'ə m b ɾ ə
setge	s 'e dʒ ə	s 'ə dʒ ə
setges	s 'e dʒ ə s	s 'ə dʒ ə s
seua	s 'e w ə	s 'ə w ə
seure	s 'ə w ɾ ə	s 'e w ɾ ə
seva	s 'e v ə	s 'ə v ə
sèver	s 'e v ə	s ə v 'e 
seves	s 'e v ə s	s 'ə v ə s
signada	s i n n 'a ð ə	s i ə n 'a ð ə
signades	s i n n 'a ð ə s	s i ə n 'a ð ə s
signar	s i n n 'a	s i ə n 'a
Silèsia	s i l 'e z i ə	s i l 'ə z i ə
síndria	s 'i n d ɾ i ə	s i n d ɾ 'i ə
síndrome	s 'i n d ɾ o m ə	s i n d ɾ 'o m ə
sisè	s i z 'ə	s i s 'ə
sistema	s i s t 'e m ə	s i s t 'ə m ə
solell	s o l 'ə ʎ	s o l 'e ʎ
sostreure	s o s t ɾ 'ə w ɾ ə	s o s t ɾ 'e w ɾ ə
sous	s 'o w s	s 'o s
subratllades	s u β ɾ ə l ʎ ʎ 'a ð ə s	s u β ɾ ə ʎ ʎ 'a ð ə s
subscriure	s u p s k ɾ 'i w ɾ ə	s u t s k ɾ 'i w ɾ ə
substància	s u p s t 'a n s i ə	s u t s t 'a n s i ə
substantiu	s u p s t ə n t 'i w	s u t s t ə n t 'i w
substantius	s u p s t ə n t 'i w s	s u t s t ə n t 'i w s
succeïts	s u t s ə 'i t s	s u t s ə 'i s
súcube	s 'u k u β ə	s u k 'u β ə
sucursal	s u k u ɾ s 'a l	s u k u ə s 'a l
sucursals	s u k u ɾ s 'a l s	s u k u ə s 'a l s
Suècia	s u 'ə s i ə	s u t s i ə
súper	s 'u p ə	s u p 'e 
Tailàndia	t ə j l 'a n d i ə	t ə i l 'a n d i ə
tàlveg	t 'a l v ə k	t 'a l v ə ɣ
tangent	t ə n ʒ 'e n t	t ə ŋ g 'e n t
taquimètric	t ə k i m 'e t ɾ i k	t ə k i m 'ə t ɾ i k
tàtar	t 'a t ə	t ə t 'a
tatuats	t ə t u 'a t s	t ə t u 'a s
telèfon	t ə l 'e f o n	t ə l 'ə f o n
telèfons	t ə l 'e f o n s	t ə l 'ə f o n s
telègraf	t ə l 'e ɣ ɾ ə f	t ə l 'ə ɣ ɾ ə f
tema	t 'e m ə	t 'ə m ə
temen	t 'e m ə n	t 'ə m ə n
témer	t 'e m ə	t ə m 'e 
temes	t 'e m ə s	t 'ə m ə s
temo	t 'e m o	t 'ə m o
tempesta	t ə m p 'e s t ə	t ə m p 'ə s t ə
templa	t 'e m p l ə	t 'ə m p l ə
temple	t 'e m p l ə	t 'ə m p l ə
temples	t 'e m p l ə s	t 'ə m p l ə s
tendenciosa	t ə n d ə n s i 'o z ə	t ə n d ə n s i 'o s ə
tendencioses	t ə n d ə n s i 'o z ə s	t ə n d ə n s i 'o s ə s
tendenciosos	t ə n d ə n s i 'o z o s	t ə n d ə n s i 'o s o s
tenebra	t ə n 'e β ɾ ə	t ə n 'ə β ɾ ə
tenebres	t ə n 'e β ɾ ə s	t ə n 'ə β ɾ ə s
tenen	t 'e n ə n	t 'ə n ə n
téntol	t 'e n t o l	t ə n t 'o l
termogènesi	t ə ɾ m o ʒ 'e n ə z i	t ə ɾ m o ʒ 'ə n ə z i
terrestre	t ə r 'e s t ɾ ə	t ə r 'ə s t ɾ ə
terrestres	t ə r 'e s t ɾ ə s	t ə r 'ə s t ɾ ə s
terrissaire	t ə r i s 'a j ɾ ə	t ə r i s 'a i ɾ ə
Teseu	t ə z 'e w	t ə s 'e w
tètan	t 'e t ə n	t 'ə t ə n
tètanus	t 'e t ə n u s	t ə t ə n 'u s
tètol	t 'e t o l	t 'ə t o l
teva	t 'e v ə	t 'ə v ə
teves	t 'e v ə s	t 'ə v ə s
torraina	t o r 'a j n ə	t o r 'a i n ə
traduïts	t ɾ ə ð u 'i t s	t ɾ ə ð u 'i s
traïts	t ɾ ə 'i t s	t ɾ ə 'i s
tràquea	t ɾ 'a k e ə	t ɾ 'a k ə ə
traqueal	t ɾ ə k e 'a l	t ɾ ə k ə 'a l
traqueals	t ɾ ə k e 'a l s	t ɾ ə k ə 'a l s
trèmol	t ɾ 'e m o l	t ɾ 'ə m o l
tremp	t ɾ 'e m p	t ɾ 'ə m p
Tremp	t ɾ 'e m p	t ɾ 'ə m p
trenqui	t ɾ 'e ŋ k i	t ɾ 'ə ŋ k i
trenquin	t ɾ 'e ŋ k i n	t ɾ 'ə ŋ k i n
trenquis	t ɾ 'e ŋ k i s	t ɾ 'ə ŋ k i s
trens	t ɾ 'ə n s	t ɾ 'e n s
trepa	t ɾ 'e p ə	t ɾ 'ə p ə
trepes	t ɾ 'e p ə s	t ɾ 'ə p ə s
trepig	t ɾ ə p 'i tʃ	t ɾ ə p 'i ə
tret	t ɾ 'e t	t ɾ 'ə t
treta	t ɾ 'e t ə	t ɾ 'ə t ə
tretes	t ɾ 'e t ə s	t ɾ 'ə t ə s
trets	t ɾ 'e t s	t ɾ 'ə t s
tretze	t ɾ 'e d z ə	t ɾ 'ə d z ə
treure	t ɾ 'ə w ɾ ə	t ɾ 'e w ɾ ə
treus	t ɾ 'e w s	t ɾ 'ə w s
treva	t ɾ 'e v ə	t ɾ 'ə v ə
Trèveris	t ɾ 'e v ə ɾ i s	t ɾ 'ə v ə ɾ i s
trimestre	t ɾ i m 'e s t ɾ ə	t ɾ i m 'ə s t ɾ ə
trinxeraire	t ɾ i n ʃ ə ɾ 'a j ɾ ə	t ɾ i n ʃ ə ɾ ə 'i ɾ ə
troià	t ɾ o j 'a	t ɾ o i 'a
tsar	t s 'a	ə z 'a
uigur	u j ɣ 'u	u tʃ 'u
ull	'u j	'u ʎ
ultimàtum	u l t i m 'a t u m	u l t i m ə t 'u m
vainilla	v ə j n 'i ʎ ə	v ə i n 'i ʎ ə
vainilles	v ə j n 'i ʎ ə s	v ə i n 'i ʎ ə s
València	v ə l 'e n s i ə	v ə l 'ə n s i ə
valer	v ə l 'ə	v ə l 'e
varius	v ə ɾ 'i w s	v ə ɾ i 'u s
ve	v 'e	v 'ə
venda	v 'ə n d ə	v 'e n d ə
vènet	v 'e  n ə t	v 'ə n ə t
vènia	v 'e  n i ə	v 'e n i ə
ventrell	v ə n t ɾ 'ə ʎ	v ə n t ɾ 'e ʎ
Venus	v 'e n u s	v 'ə n u s
vespa	v 'e s p ə	v 'ə s p ə
vespre	v 'e s p ɾ ə	v 'ə s p ɾ ə
vetlla	v 'e ʎ ʎ ə	v 'ə ʎ ʎ ə
vetla	v 'e l l ə	v 'ə l l ə
veure	v 'ə w ɾ ə	v 'e w ɾ ə
vicesecretari	v i s ə s ə k ɾ ə t 'a ɾ i	v i s ə z ə k ɾ ə t 'a ɾ i
vigència	v i ʒ 'e  n s i ə	v i ʒ 'e n s i ə
vigèsim	v i ʒ 'e  z i m	v i ʒ 'e z i m
violència	v i o l 'e  n s i ə	v i o l 'e n s i ə
vistaire	v i s t 'a j ɾ ə	v i s t 'a i ɾ ə
viuda	v 'i w ð ə	v i 'u ð ə
voivoda	v o j v 'o ð ə	v o i v 'o ð ə
voler	v o l 'ə	v o l 'e
volumètric	v o l u m 'e t ɾ i k	v o l u m 'ə t ɾ i k
vuitada	v u j t 'a ð ə	v u i t 'a ð ə
vuitanta	v u j t 'a n t ə	v u i t 'a n t ə
wiki	b 'i k i	ə 'i k i
wòlof	b 'o l o f	o 'o l o f
xai	ʃ 'a j	ʃ 'a i
Xangai	ʃ ə ŋ g 'a j	ʃ ə ŋ g 'a i
xangainès	ʃ ə ŋ g ə j n 'ə s	ʃ ə ŋ g ə i n 'ə s
xeic	ʃ 'e j k	ʃ 'ə j k
xíndria	ʃ 'i n d ɾ i ə	ʃ i n d ɾ 'i ə
xiular	ʃ i w l 'a	ʃ i u l 'a
xiulet	ʃ i w l 'ə t	ʃ i u l 'ə t
xou	ʃ 'o w	ʃ 'o
xous	ʃ 'o w s	ʃ o 'u s
Xúquer	ʃ 'u k ə	ʃ u k 'e 
zebra	z 'e β ɾ ə	z 'ə β ɾ ə
zeugma	z 'e w m m ə	z 'e u m m ə
de	d 'ə	d ə
que	k 'ə	k ə
la	l 'ə	l ə
i	'i	i
a	'ə	ə
el	'ə l	ə l
en	'ə n	ə n
les	l 'ə s	l ə s
els	'ə l s	'e l s
del	d 'ə l	d ə l
amb	'ə m	 e m b
al	'ə l	'a l
es	'ə s	ə s
El	'ə l	ə l
dels	d 'ə l s	d 'e l s
hi	'i	i
La	l 'ə	l ə
si	s 'i	s i
em	'ə m	ə m
li	l 'i	l i
seva	s 'e v ə	s 'ə v ə
ens	'ə n s	'e n s
Els	ə l s	'e l s
A	'ə	ə
als	ə l s	'a l s
En	'ə n	ə n
Si	s 'i	s i
sense	s 'e n s ə	s 'ə n s ə
ho	'o	o
res	r 'e s	r 'ə s
De	d 'ə	d ə
pel	p 'ə l	p 'e l
meva	m 'e v ə	m 'ə v ə
sempre	s 'e m p ɾ ə	s 'ə m p ɾ ə
I	'i	i
he	'e	'a
hem	'ə m	'e m
seves	s 'e v ə s	s 'ə v ə s
se	s 'ə	s ə
Les	l 'ə s	l ə s
sistema	s i s t 'e m ə	s i s t 'ə m ə
Em	'ə m	ə m
et	'ə t	ə t
Es	'ə s	ə s
mai	m 'a j	m 'a i
poder	p o ð 'ə	p o ð 'e
Al	'ə l	'a l
hores	'o ɾ ə s	ə ɾ ə s
Hi	'i	i
haver	ə v 'ə	ə v 'e
tenen	t 'e n ə n	t 'ə n ə n
Li	l 'i	l i
Amb	'ə m	 e m b
nens	n 'ə n s	n 'e n s
ben	b 'e n	b 'ə n
pels	p 'ə l s	p 'e l s
molts	m 'o l s	m 'o l t s
saber	s ə β 'ə	s ə β 'e
mig	m 'i tʃ	m 'i k
cotxe	k 'o tʃ o	k 'o tʃ ə
Ho	'o	o
mateixa	m ə t 'e ʃ ə	m ə t 'ə ʃ ə
mes	m 'e s	m 'ə s
Queden	k 'e ð ə n	k 'ə ð ə n
home	'o m o	'o m ə
ve	v 'e	v 'ə
trenta	t ɾ 'ə n t ə	t ɾ 'e n t ə
gaire	g 'a j ɾ ə	g 'a i ɾ ə
He	'e	'a
hora	'o ɾ ə	ə ɾ ə
problemes	p ɾ o β l 'e m ə s	p ɾ o β l 'ə m ə s
teva	t 'e v ə	t 'ə v ə
tretze	t ɾ 'e d z ə	t ɾ 'ə d z ə
tema	t 'e m ə	t 'ə m ə
queda	k 'e ð ə	k 'ə ð ə
noi	n 'o j	n 'o i
Ens	'ə n s	'e n s
llengua	ʎ 'e ŋ g w ə	ʎ 'ə ŋ g w ə
segle	s 'e g g l ə	s 'e ɣ l ə
hagut	ə ɣ 'u t	a ɣ 'u t
Que	k 'ə	k ə
Sempre	s 'e m p ɾ ə	s 'ə m p ɾ ə
meves	m 'e v ə s	m 'ə v ə s
telèfon	t ə l 'e f o n	t ə l 'ə f o n
llarg	ʎ 'a ɾ k	ʎ 'a ɾ ə
temes	t 'e m ə s	t 'ə m ə s
homes	'o m ə s	ə m ə s
centres	s 'e n t ɾ ə s	s 'ə n t ɾ ə s
Lleida	ʎ 'e j ð ə	ʎ 'ə j ð ə
tens	t 'ə n s	t 'e n s
trens	t ɾ 'ə n s	t ɾ 'e n s
fes	f 'e s	f 'ə s
vuitanta	v u j t 'a n t ə	v u i t 'a n t ə
queden	k 'e ð ə n	k 'ə ð ə n
peixos	p 'e ʃ o s	p 'ə ʃ o s
haig	'a tʃ	a 'i ə
etcètera	ə t s 'e t ə ɾ ə	ə t s 'ə t ə ɾ ə
dòlars	d 'o l ə s	d o l 'a s
me'n	m ə n	m 'ə n
Hem	'ə m	'e m
pedra	p 'e ð ɾ ə	p 'ə ð ɾ ə
paisatge	p ə j z 'a dʒ ə	p ə i z 'a dʒ ə
nois	n 'o j s	n 'o i s
mètode	m 'e t o ð ə	m 'ə t o ð ə
gens	ʒ 'ə n s	g 'e n s
espai	ə s p 'a j	ə s p 'a i
Montse	m 'o n s ə	m 'o n t s ə
me	m 'ə	m ə
mateixos	m ə t 'e ʃ o s	m ə t 'ə ʃ o s
Pel	p 'ə l	p 'e l
Et	'ə t	ə t
últims	'u l t i n s	u l t 'i n s
plens	p l 'ə n s	p l 'e n s
deixen	d 'e ʃ ə n	d 'ə ʃ ə n
Sense	s 'e n s ə	s 'ə n s ə
veuen	v 'ə w ə n	v 'e w ə n
processos	p ɾ o s 'e s o s	p ɾ o s 'ə s o s
problema	p ɾ o β l 'e m ə	p ɾ o β l 'ə m ə
pedres	p 'e ð ɾ ə s	p 'ə ð ɾ ə s
guerra	g 'e r ə	g w 'e r ə
desig	d ə z 'i tʃ	d ə z 'i ə
entendre	ə n t 'e n d ɾ ə	ə n t 'ə n d ɾ ə
Vielha	v i 'e l ə	v i ə l 'a
Mai	m 'a j	m 'a i
ves	v 'e s	v 'ə s
sistemes	s i s t 'e m ə s	s i s t 'ə m ə s
reals	r e 'a l s	r ə 'a l s
metges	m 'e dʒ ə s	m 'ə dʒ ə s
València	v ə l 'e n s i ə	v ə l 'ə n s i ə
i	'i	i
vespre	v 'e s p ɾ ə	v 'ə s p ɾ ə
quedo	k 'e ð o	k 'ə ð o
néixer	n 'e ʃ ə	n ə ʃ 'e 
meitat	m ə j t 'a t	m ə i t 'a t
gaires	g 'a j ɾ ə s	g 'a i ɾ ə s
equips	ə k 'i t s	ə k 'i s
consciència	k o n t s i 'e n s i ə	k o n s i 'e n s i ə
conscient	k o n t s i 'e n t	k o n s i 'e n t
Als	'ə l s	'a l s
ésser	'e s ə	e s 'e 
època	'e p o k ə	'ə p o k ə
A	'ə	ə
voler	v o l 'ə	v o l 'e
espais	ə s p 'a j s	ə s p 'a i s
èpoques	'e p o k ə s	'ə p o k ə s
teves	t 'e v ə s	t 'ə v ə s
deixo	d 'e ʃ o	d 'ə ʃ o
capsa	k 'a t s ə	k 'a s ə
segles	s 'e g g l ə s	s 'e ɣ l ə s
regles	r 'e g g l ə s	r 'e ɣ l ə s
pèl	p 'ə l	p 'e l
premsa	p ɾ 'e n s ə	p ɾ 'ə m z ə
metge	m 'e dʒ ə	m 'ə dʒ ə
lluitar	ʎ u j t 'a	ʎ u i t 'a
immens	i m m 'ə n s	i m m 'e n s
guia	g 'i ə	g w 'i ə
espècie	ə s p 'ə s i ə	ə s p 'e s i ə
elfs	'e l t s	'e l i s
créixer	k ɾ 'e ʃ ə	k ɾ ə ʃ 'e 
atendre	ə t 'e n d ɾ ə	ə t 'ə n d ɾ ə
Boi	b 'o j	b 'o i
vendes	v 'ə n d ə s	v 'e n d ə s
ull	'u j	'u ʎ
telèfons	t ə l 'e f o n s	t ə l 'ə f o n s
pèls	p 'ə l s	p 'e l s
m'hi	m i	m 'i
llest	ʎ 'e s t	ʎ 'ə s t
llengües	ʎ 'e ŋ g w ə s	ʎ 'ə ŋ g w ə s
enmig	ə m m 'i tʃ	ə n m 'i k
creador	k ɾ e ə ð 'o	k ɾ ə ə ð 'o
Tremp	t ɾ 'e m p	t ɾ 'ə m p
Pesa	p 'e z ə	p 'ə z ə
Molts	m 'o l s	m 'o l t s
Jesús	ʒ ə z 'u s	ʒ ə s 'u s
Fes	f 'e s	f 'ə s
éssers	'e s ə s	e s 'e s
èxits	'e t s i t s	ʃ i t s
En	'ə n	ə n
realitzen	r e ə l 'i d z ə n	r ə ə l 'i d z ə n
raig	r 'a tʃ	r ə 'i ə
peatges	p e 'a dʒ ə s	p ə 'a dʒ ə s
morts	m 'o ɾ s	m 'o ɾ t s
menja	m 'e n ʒ ə	m 'ə n ʒ ə
mateixes	m ə t 'e ʃ ə s	m ə t 'ə ʃ ə s
fruits	f ɾ 'u j t s	f ɾ u 'i t s
entren	'e n t ɾ ə n	'ə n t ɾ ə n
currículum	k u r 'i k u l u m	k u r i k u l 'u m
creat	k ɾ e 'a t	k ɾ ə 'a t
caigui	k 'a j ɣ i	k 'a i ɣ i
alcohol	ə l k o 'o l	ə l k o 'a l
èxit	'e t s i t	ʃ i t
situats	s i t u 'a t s	s i t u 'a s
sisè	s i z 'ə	s i s 'ə
poesia	p o ə z 'i ə	p o ə s 'i ə
plàncton	p l 'a ŋ t t o n	p l ə n s t 'o n
lo	l 'o	l o
jersei	ʒ ə ɾ s 'ə j	ʒ ə ɾ s 'ə i
intens	i n t 'ə n s	i n t 'e n s
herois	ə ɾ 'o j s	ə ɾ 'o i s
guies	g 'i ə s	g w 'i ə s
fetge	f 'e dʒ ə	f 'ə dʒ ə
esmorteïts	ə z m o ɾ t ə 'i t s	ə z m o ɾ t ə 'i s
encendre	ə n s 'e n d ɾ ə	ə n s 'ə n d ɾ ə
distingir	d i s t i n ʒ 'i	d i s t i ŋ g 'i
deuen	d 'ə w ə n	d 'e w ə n
descens	d ə t s 'ə n s	d ə t s 'e n s
argument	ə ɾ ɣ u m 'e n t	a ɾ ɣ u m 'e n t
aliment	ə l i m 'e n t	a l i m 'e n t
Seguint	s ə ɣ 'i n t	s ə ɣ u 'i n t
Res	r 'e s	r 'ə s
Huelva	u 'e l v ə	ə 'e l v ə
Horts	'o ɾ s	ə ɾ s
Deixo	d 'e ʃ o	d 'ə ʃ o
te	t 'ə	t ə
sencera	s ə n s 'ə ɾ ə	s ə n s 'e ɾ ə
seguint	s ə ɣ 'i n t	s ə ɣ u 'i n t
parer	p ə ɾ 'ə	p ə ɾ 'e
menjo	m 'e n ʒ o	m 'ə n ʒ o
mantenen	m ə n t 'e n ə n	m ə n t 'ə n ə n
lleixa	ʎ 'e ʃ ə	ʎ 'ə ʃ ə
goig	g 'o tʃ	g o 'i ə
estrangers	ə s t ɾ ə n ʒ 'e s	ə s t ɾ ə ŋ g 'e s
espècies	ə s p 'ə s i ə s	ə s p 'e s i ə s
empleats	ə m p l e 'a t s	ə m p l ə 'a s
celebra	s ə l 'e β ɾ ə	s ə l 'ə β ɾ ə
bàsquet	b 'a s k ə t	b ə s k 'ə t
bàndols	b 'a n d o l s	b ə n d 'o l s
bars	b 'a s	b 'a ɾ s
assignat	ə s i n n 'a t	ə s i ə n 'a t
Tens	t 'ə n s	t 'e n s
Pontevedra	p o n t ə v 'e ð ɾ ə	p o n t ə v 'ə ð ɾ ə
Pels	p 'ə l s	p 'e l s
Menjo	m 'e n ʒ o	m 'ə n ʒ o
Home	'o m o	'o m ə
subproductes	s u p p ɾ o ð 'u t t ə s	s u β p ɾ o ð 'u t t ə s
sopars	s o p 'a s	s o p 'a ɾ s
sistema	s i s t 'e m ə	s i s t 'ə m ə
signar	s i n n 'a	s i ə n 'a
sencer	s ə n s 'ə	s ə n s 'e
realitza	r e ə l 'i d z ə	r ə ə l 'i d z ə
pàrquing	p 'a ɾ k i ŋ k	p ə ɾ k 'i ŋ k
presses	p ɾ 'e s ə s	p ɾ 'ə s ə s
preciosa	p ɾ ə s i 'o z ə	p ɾ ə s i 'o s ə
penja	p 'e n ʒ ə	p 'ə n ʒ ə
oliosos	o l i 'o z o s	o l i 'o s o s
megues	m 'ə ɣ ə s	m 'e ɣ ə s
luxe	l 'u t s ə	l 'u ʃ ə
lluitava	ʎ u j t 'a v ə	ʎ u i t 'a v ə
lletja	ʎ 'e dʒ ə	ʎ 'ə dʒ ə
lleig	ʎ 'e tʃ	ʎ ə 'i ə
kafkianes	k ə f k i 'a n ə s	k ə f i i 'a n ə s
irreal	i r e 'a l	i r ə e 'a l
ideals	i ð e 'a l s	i ð ə 'a l s
gratuïts	g ɾ ə t u 'i t s	g ɾ ə t u 'i s
grandiosa	g ɾ ə n d i 'o z ə	g ɾ ə n d i 'o s ə
gespa	ʒ 'e s p ə	ʒ 'ə s p ə
gasoil	g ə z 'o j l	g ə z o 'i l
fem-ho	f 'e m o	f 'ə m o
escletxa	ə s k l 'e tʃ ə	ə s k l 'ə tʃ ə
elèctrics	ə l 'e t t ɾ i t s	ə l ə t t ɾ 'i t s
dècada	d 'e k ə ð ə	d ə k 'a ð ə
dotant-les	d o t 'a n l ə s	d o t 'a n t  l ə s
creixen	k ɾ 'e ʃ ə n	k ɾ 'ə ʃ ə n
conscients	k o n t s i 'e n s	k o n s i 'e n s
cegues	s 'ə ɣ ə s	s 'e ɣ ə s
aliens	ə l i 'ə n s	ə l i 'e n s
aleatoris	ə l e ə t 'o ɾ i s	ə l ə ə t 'o ɾ i s
aimara	ə j m 'a ɾ ə	ə i m 'a ɾ ə
agafant-me	ə ɣ ə f 'a m m ə	ə ɣ ə f 'a n t m ə
Tenen	t 'e n ə n	t 'ə n ə n
Regne	r 'e n n ə	r 'ə n n ə
Mig	m 'i tʃ	m 'i k
Me	m 'ə	m ə
Kuwait	k u β 'a j t	k u β 'a i t
Guia	g 'i ə	g w 'i ə
Guerra	g 'e r ə	g w 'e r ə
Entro	'e n t ɾ o	'ə n t ɾ o
Eivissa	ə j v 'i s ə	ə i v 'i s ə
Del	d 'ə l	d ə l
Consciència	k o n t s i 'e n s i ə	k o n s i 'e n s i ə
Hi	'i	i
De	d 'ə	d ə
vinguessis	v i ŋ g 'e s i s	v i ŋ g 'ə s i s
sentint-se	s ə n t 'i n s ə	s ə n t 'i n t s ə
sens	s 'ə n s	s 'e n s
seguien	s ə ɣ 'i ə n	s ə ɣ u 'i ə n
reiterada	r ə i t ə ɾ 'a ð ə	r ə j t ə ɾ 'a ð ə
oi	'o j	'o i
nèctar	n 'e t t ə	n ə t t 'a
nerviosisme	n ə ɾ v i o z 'i z m ə	n ə ɾ v i o s 'i z m ə
mirant-lo	m i ɾ 'a n l o	m i ɾ 'a n i l o
luxes	l 'u t s ə s	l 'u ʃ ə s
lleixes	ʎ 'e ʃ ə s	ʎ 'ə ʃ ə s
indústria	i n d 'u s t ɾ i ə	i n d u s t ɾ 'i ə
franctirador	f ɾ ə ŋ t t i ɾ ə ð 'o	f ɾ ə n s t i ɾ ə ð 'o
fongs	f 'o ŋ s	f 'o n s
fleca	f l 'e k ə	f l 'ə k ə
estratègies	ə s t ɾ ə t 'ə ʒ i ə s	ə s t ɾ ə t 'e ʒ i ə s
estranger	ə s t ɾ ə n ʒ 'e	ə s t ɾ ə ŋ g 'e
esglésies	ə z ɣ l 'e z i ə s	ə z ɣ l ə z 'i ə s
distendre	d i s t 'e n d ɾ ə	d i s t 'ə n d ɾ ə
desmai	d ə z m 'a j	d ə z m 'a i
cuidar	k u j ð 'a	k u i ð 'a
creuen	k ɾ 'ə w ə n	k ɾ 'e w ə n
concentren	k o n s 'e n t ɾ ə n	k o n s 'ə n t ɾ ə n
arruinats	ə r u j n 'a t s	ə r u i n 'a t s
alineats	ə l i n e 'a t s	ə l i n ə 'a s
Sistema	s i s t 'e m ə	s i s t 'ə m ə
Queda	k 'e ð ə	k 'ə ð ə
Ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ə β ɾ ə
ètniques	'e n n i k ə s	'ə n n i k ə s
ètnica	'e n n i k ə	'ə n n i k ə
ètnic	'e n n i k	'ə n n i k
àngels	'a n ʒ ə l s	a n ʒ 'e l s
que	k 'ə	k ə
Que	k 'ə	k ə
La	l 'ə	l ə
En	'ə n	ə n
xai	ʃ 'a j	ʃ 'a i
whiskys	b 'i s k i s	ə 'i s j n s
vuitens	v u j t 'ə n s	v u i t 'e n s
vuitena	v u j t 'ə n ə	v u i t 'ə n ə
virtuoses	v i ɾ t u 'o z ə s	v i ɾ t u 'o s ə s
vespres	v 'e s p ɾ ə s	v 'ə s p ɾ ə s
tsars	t s 'a s	ə z 'a s
treuen	t ɾ 'ə w ə n	t ɾ 'e w ə n
trepitgés	t ɾ ə p i dʒ 'e s	t ɾ ə p i tʃ 'e s
trepig	t ɾ ə p 'i tʃ	t ɾ ə p 'i ə
transmetent-me	t ɾ ə n z m ə t 'e m m ə	t ɾ ə n z m ə t 'e n t m ə
tinguent	t i ŋ g 'e n t	t i ŋ g w 'e n t
terrenys	t ə r 'ə j n s	t ə r 'ə n i s
terraqüi	t ə r 'a k w i	t ə r 'a i i
